Assembly,Filename,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs,Largest contig,Total length,Reference length,GC (%),Reference GC (%),N50.x,NG50,N75,NG75,L50,LG50,L75,LG75,# misassemblies,# misassembled contigs,Misassembled contigs length,# local misassemblies,# scaffold gap ext. mis.,# scaffold gap loc. mis.,# unaligned mis. contigs,# unaligned contigs,Unaligned length,Genome fraction (%),Duplication ratio,# N's per 100 kbp,# mismatches per 100 kbp,# indels per 100 kbp,Largest alignment,Total aligned length,NA50,NGA50,NA75,NGA75,LA50,LGA50,LA75,LGA75,Source Host,Source Context,Uberstrain,Name,Data.Source.Accession.No..Sequencing.Platform.Sequencing.Library.Insert.Size.Experiment.Bases.Average.Length.Status.,Sequencing Platform(s),Barcode,Source Details,Collection.Year,Collection.Month,Collection.Day,Continent,Country,Region,District,City,Latitude,Longitude,Serovar,Subspecies,Antigenic.Formulas,Lab.Contact,Bio.Project.ID,Project.ID,Sample.ID,Secondary.Sample.ID,Date.Entered,Release.Date,Status,Coverage,N50.y,Length,Species,Contig.Number...200.bp.,Low.Quality.Bases,Version
SAL_JA7000AA_AS,SAL_JA7000AA_AS.scaffold,79,47,38,33,28,24,4905156,4890509,4871760,4837649,4738186,4601704,62,647104,4900340,4809037,52.2,52.09,246280,257699,138766,138766,7,6,13,13,80,22,4315541,131,0,0,2,7 + 32 part,626667,88.673,1.002,7.77,1324.48,26.97,148076,4271798,57212,57947,26261,26648,28,27,58,56,Human,Animal,SAL_DA3512AA,CFSAN023320,SRR1569651;ILLUMINA;Paired;500;SRX696087;453124152;234,ILLUMINA;;,SAL_DA3512AA,stool,2001,5,NA,North America,United States,Minnesota,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA186035,SRP018785,SAMN02989036,SRS697190,2015-08-27,2014-09-08,Assembled,93,246280,4905156,Salmonella enterica;100.0%,74,3244,2.2
SAL_JA7003AA_AS,SAL_JA7003AA_AS.scaffold,102,63,47,41,32,26,5016277,5000361,4972477,4935124,4789381,4572227,76,523123,5010169,4809037,52.06,52.09,204653,223067,99797,141745,8,7,16,14,83,27,4535390,129,0,0,3,26 + 37 part,778606,87.825,1.002,0,1307.7,26.54,127791,4230508,57213,57948,22032,26911,30,28,62,56,Swine,Animal,SAL_DA9833AA,MDH-2013-00099,SRR1158115;ILLUMINA;Paired;500;SRX462099;458480766;237,ILLUMINA;;,SAL_DA9833AA,porcine liver; pig,2009,10,NA,North America,United States,Minnesota,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA215333,SRP032981,SAMN02378104,SRS551273,2015-08-27,2014-02-03,Assembled,91.4,204653,5016277,Salmonella enterica;90.67%,92,4855,2.2
SAL_JA7004AA_AS,SAL_JA7004AA_AS.scaffold,66,34,26,24,19,16,4890758,4880385,4865561,4850508,4765659,4654048,42,1071829,4885284,4809037,52.12,52.09,401030,401030,257910,257910,4,4,7,7,93,16,4472604,132,0,0,1,6 + 22 part,620485,88.491,1.002,7.51,1311.13,26.27,148081,4263952,58646,61754,26261,31183,27,26,55,53,Bovine,Animal,SAL_DA9790AA,VA_WGS-00046,SRR1164512;ILLUMINA;Paired;500;SRX467088;392599116;234,ILLUMINA;;,SAL_DA9790AA,bos taurus,2005,9,NA,North America,United States,Virginia,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA219491,SRP033708,SAMN02403267,SRS554756,2015-08-27,2014-02-06,Assembled,81,401030,4890758,Salmonella enterica;98.24%,57,4898,2.2
SAL_JA7008AA_AS,SAL_JA7008AA_AS.scaffold,69,44,36,34,28,22,4831531,4820761,4800569,4784913,4670525,4446505,53,720196,4826643,4809037,52.13,52.09,222820,222820,142552,142552,7,7,14,14,79,22,4344649,131,0,0,1,9 + 30 part,566669,88.417,1.002,6.48,1313.66,26.48,148097,4257978,57212,57212,26579,26911,27,27,56,55,Swine,Animal,SAL_DA6146AA,MDH-2014-00341,SRR1461793;ILLUMINA;Paired;500;SRX626717;581590376;236,ILLUMINA;;,SAL_DA6146AA,porcine rectal,2002,11,NA,North America,United States,Minnesota,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA215333,SRP032981,SAMN02699507,SRS647321,2015-08-27,2014-06-25,Assembled,120.37,222820,4831531,Salmonella enterica;100.0%,65,2779,2.2
SAL_JA7011AA_AS,SAL_JA7011AA_AS.scaffold,100,65,47,43,33,28,5088714,5073458,5034614,5002675,4832929,4647550,80,453548,5083468,4809037,52.11,52.09,191687,191687,112456,126497,9,9,18,16,79,26,4305922,126,0,0,2,17 + 42 part,834731,88.129,1.002,7.67,1305.94,26.45,196300,4246483,52909,57947,18004,26196,30,27,66,56,Swine,Animal,SAL_DA9743AA,MDH-2013-00065,SRR1164592;ILLUMINA;Paired;500;SRX467168;352104084;243,ILLUMINA;;,SAL_DA9743AA,porcine lung; pig,2008,12,NA,North America,United States,Minnesota,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA215333,SRP032981,SAMN02378070,SRS554836,2015-08-27,2014-02-06,Assembled,70,191687,5088714,Salmonella enterica;96.2%,93,5484,2.2
SAL_JA7013AA_AS,SAL_JA7013AA_AS.scaffold,80,57,45,41,37,29,5017950,5007778,4986815,4959444,4877859,4566027,68,571383,5014833,4809037,52.08,52.09,153045,178418,93948,94353,8,7,19,17,77,24,4087727,131,0,0,2,18 + 37 part,773613,88.004,1.002,0,1306.71,26.61,148056,4239278,51939,57212,18915,26911,31,29,66,59,Poultry,Product,SAL_DA2657AA,WAPHL_SAL-A00560,SRR1588662;ILLUMINA;Paired;500;SRX712946;427198704;236,ILLUMINA;;,SAL_DA2657AA,chicken breast,2004,NA,NA,North America,United States,Tennessee,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA183851,SRP028334,SAMN02782612,SRS711040,2015-08-27,2014-09-29,Assembled,86,153045,5017950,Salmonella enterica;92.06%,74,8349,2.2
SAL_JA7022AA_AS,SAL_JA7022AA_AS.scaffold,91,59,37,33,27,25,4966163,4949390,4915050,4885038,4779146,4706767,78,622428,4962783,4809037,52.06,52.09,257908,257908,115473,130706,6,6,14,13,79,22,4400480,130,0,0,2,36 + 31 part,718620,88.085,1.002,6.35,1306.22,26.72,148076,4242500,57947,58646,21660,26568,27,26,59,54,Poultry,Animal,SAL_DA8653AA,WAPHL-SAL-A00314,SRR1203044;ILLUMINA;Paired;500;SRX499472;431851420;242,ILLUMINA;;,SAL_DA8653AA,ground turkey,2002,NA,NA,North America,United States,Connecticut,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA183851,SRP028334,SAMN02640877,SRS580859,2015-08-27,2014-03-24,Assembled,87,257908,4966163,Salmonella enterica;98.55%,86,6151,2.2
SAL_JA7023AA_AS,SAL_JA7023AA_AS.scaffold,99,63,48,39,32,28,5018059,5003210,4971231,4900963,4769782,4620462,78,443829,5013293,4809037,52.11,52.09,191687,191687,128313,132214,9,9,17,16,79,26,4353427,126,0,0,1,14 + 42 part,770348,88.013,1.002,7.1,1304.33,26.23,148061,4241253,53798,57212,18787,24653,30,29,65,58,Swine,Animal,SAL_DA6748AA,NY-swgs1181,SRR1334135;ILLUMINA;Paired;500;SRX569574;459562328;236,ILLUMINA;;,SAL_DA6748AA,pig stool,2011,10,NA,North America,United States,Minnesota,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA183850,SRP028607,SAMN02595895,SRS627293,2015-08-27,2014-06-04,Assembled,92,191687,5018059,Salmonella enterica;95.0%,89,5806,2.2
SAL_JA7025AA_AS,SAL_JA7025AA_AS.scaffold,89,63,48,38,30,24,5041770,5030829,4996134,4929974,4794005,4581555,73,659718,5037482,4809037,52.16,52.09,219420,271001,109050,110974,6,5,14,13,82,23,4283661,128,0,0,2,19 + 36 part,784900,88.167,1.003,7.72,1309.96,26.91,147997,4249967,52048,54524,21658,26911,31,28,64,57,Bovine,Animal,SAL_DA2571AA,MDH-2014-00534,SRR1593395;ILLUMINA;Paired;500;SRX717718;347997936;242,ILLUMINA;;,SAL_DA2571AA,bovine liver; bos taurus,2003,8,NA,North America,United States,Minnesota,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA215333,SRP032981,SAMN02699700,SRS713586,2015-08-27,2014-09-30,Assembled,70,219420,5041770,Salmonella enterica;89.33%,83,10706,2.2
SAL_JA7026AA_AS,SAL_JA7026AA_AS.scaffold,74,54,40,35,29,24,5228484,5221318,5187482,5158200,5049962,4877416,60,746472,5225074,4809037,52.07,52.09,225812,257549,141747,157731,6,5,13,11,83,21,4625413,130,0,0,1,23 + 25 part,992747,87.921,1.001,0,1308.16,26.28,141266,4231495,57070,60839,16754,32082,30,26,66,53,Swine,Animal,SAL_DA9499AA,NY-swgs1099,SRR1177283;ILLUMINA;Paired;500;SRX476471;239959844;241,ILLUMINA;;,SAL_DA9499AA,pig intestine,2007,11,NA,North America,United States,Minnesota,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA183850,SRP028607,SAMN02595813,SRS562241,2015-08-27,2014-02-26,Assembled,46,225812,5228484,Salmonella enterica;89.66%,68,7220,2.2
SAL_JA7027AA_AS,SAL_JA7027AA_AS.scaffold,131,79,51,43,35,28,5274872,5251186,5190567,5136155,4995169,4720862,102,600843,5266097,4809037,52.11,52.09,225827,271001,87696,109087,8,7,17,14,79,24,4295615,128,0,0,3,51 + 38 part,1019091,88.105,1.002,24.21,1308.37,26.48,148073,4243987,50424,57211,16235,28725,32,28,72,56,Bovine,Animal,SAL_DA5993AA,IEH-NGS-SAL-00682,SRR1501629;ILLUMINA;Paired;500;SRX641616;371782656;204,ILLUMINA;;,SAL_DA5993AA,feces,2007,1,NA,North America,United States,Washington,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA186035,SRP018785,SAMN02849795,SRS650561,2015-08-27,2014-06-30,Assembled,71,225827,5274872,Salmonella enterica;78.22%,125,7146,2.2
SAL_JA7029AA_AS,SAL_JA7029AA_AS.scaffold,84,56,41,35,27,24,5004301,4992786,4960625,4920677,4794806,4683312,66,711643,4999214,4809037,52.05,52.09,223069,225812,114681,140086,7,6,14,13,81,24,4642617,132,0,0,1,23 + 31 part,768994,87.856,1.001,0,1307.11,26.39,129067,4229404,57213,58646,25827,32082,29,27,59,54,Swine,Animal,SAL_DA6760AA,NY-swgs1183,SRR1334122;ILLUMINA;Paired;500;SRX569548;377800752;237,ILLUMINA;;,SAL_DA6760AA,pig colon,2011,6,NA,North America,United States,Minnesota,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA183850,SRP028607,SAMN02595897,SRS627279,2015-08-27,2014-06-04,Assembled,76,223069,5004301,Salmonella enterica;95.31%,79,5151,2.2
SAL_JA7035AA_AS,SAL_JA7035AA_AS.scaffold,488,430,254,162,52,7,4932859,4899141,4433088,3765940,1952832,461495,468,85080,4927577,4809037,51.91,52.09,21637,21788,10568,11417,75,72,156,147,70,56,1260809,110,0,0,9,34 + 91 part,724191,86.554,1.01,7.16,1298.14,25.56,57051,4187785,13019,13672,4427,4801,110,105,269,250,Swine,Animal,SAL_DA7203AA,NY-swgs1174,"SRR8782390;ILLUMINA;Paired;500;SRX5572380;;,SRR1292246;ILLUMINA;Paired;500;SRX547044;349711696;232",ILLUMINA;;,SAL_DA7203AA,pig pleural fluid,2011,4,NA,North America,United States,Minnesota,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA183850,SRP028607,SAMN02595888,SRS614058,2015-08-27,2014-05-19,Assembled,71,21637,4932859,Salmonella enterica;98.74%,482,65584,2.2
SAL_JA7036AA_AS,SAL_JA7036AA_AS.scaffold,161,81,61,52,41,29,5128480,5098033,5058090,4996293,4814525,4392348,103,581622,5113460,4809037,52.16,52.09,150890,186646,74255,82312,8,7,20,17,76,24,3933540,121,0,1,6,26 + 48 part,860388,88.154,1.003,2.48,1309.19,26.63,125785,4250212,48158,51880,18146,25645,35,32,74,64,Bovine,Animal,SAL_DA5552AA,CFSAN018711,SRR1519452;ILLUMINA;Paired;500;SRX656676;266107140;195,ILLUMINA;;,SAL_DA5552AA,,2007,2,NA,North America,United States,Washington,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA186035,SRP018785,SAMN02849979,SRS662239,2015-08-27,2014-07-18,Assembled,52,150890,5128480,Salmonella enterica;90.08%,138,10459,2.2
SAL_JA7041AA_AS,SAL_JA7041AA_AS.scaffold,70,43,37,35,28,22,4829826,4818368,4800703,4789634,4665182,4446861,53,720196,4824885,4809037,52.13,52.09,222804,222804,142552,142552,7,7,14,14,79,22,4340040,131,0,0,1,8 + 30 part,566802,88.373,1.002,6.84,1315.03,26.45,148070,4256274,57212,57212,26579,26911,27,27,56,55,Swine,Animal,SAL_DA1557AA,MDH-2014-00578,SRR1638443;ILLUMINA;Paired;500;SRX749842;646637796;189,ILLUMINA;;,SAL_DA1557AA,porcine feces,2003,12,NA,North America,United States,Minnesota,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA215333,SRP032981,SAMN02699744,SRS735722,2015-08-27,2014-11-03,Assembled,134,222804,4829826,Salmonella enterica;100.0%,66,2273,2.2
SAL_JA7042AA_AS,SAL_JA7042AA_AS.scaffold,125,56,43,37,30,23,5009464,4988197,4963181,4920230,4782897,4540310,68,682281,4996176,4809037,52.1,52.09,223067,225955,114837,129379,7,6,14,13,84,25,4537704,129,0,0,3,18 + 36 part,760688,87.873,1.002,25.62,1309.23,26.5,129067,4233309,57213,57948,24652,26911,29,28,61,56,Swine,Animal,SAL_DA5173AA,MDH-2014-00396,SRR1539585;ILLUMINA;Paired;500;SRX672481;446757948;234,ILLUMINA;;,SAL_DA5173AA,porcine lung,2003,2,NA,North America,United States,North Carolina,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA215333,SRP032981,SAMN02699562,SRS676972,2015-08-27,2014-08-08,Assembled,90,223067,5009464,Salmonella enterica;88.66%,102,6993,2.2
SAL_JA7048AA_AS,SAL_JA7048AA_AS.scaffold,81,49,37,33,30,23,4976616,4960864,4938574,4914215,4853308,4625295,63,682268,4970536,4809037,52.1,52.09,225955,225955,129361,149998,6,6,13,12,84,24,4551886,127,0,0,3,15 + 34 part,739298,87.828,1.002,5.31,1309.97,26.19,128939,4230124,57213,58646,26252,30593,29,27,59,55,Swine,Animal,SAL_DA9864AA,MDH-2013-00105,SRR1158025;ILLUMINA;Paired;500;SRX462008;498968246;227,ILLUMINA;;,SAL_DA9864AA,porcine liver; pig,2010,1,NA,North America,United States,Minnesota,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA215333,SRP032981,SAMN02378110,SRS551232,2015-08-27,2014-02-03,Assembled,101,225955,4976616,Salmonella enterica;100.0%,77,2268,2.2
SAL_JA7051AA_AS,SAL_JA7051AA_AS.scaffold,94,52,39,34,31,24,4989460,4969791,4947125,4915762,4855151,4627116,67,601924,4980683,4809037,52.11,52.09,223067,225955,114808,129355,7,6,14,13,83,25,4551030,126,0,0,4,19 + 34 part,748582,87.838,1.002,25,1308.61,26.32,129066,4230376,57214,58646,26252,30708,29,27,59,55,Bovine,Animal,SAL_DA6546AA,CFSAN013326,SRR1363321;ILLUMINA;Paired;500;SRX581745;567694916;181,ILLUMINA;;,SAL_DA6546AA,feces,2007,1,NA,North America,United States,Washington,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA186035,SRP018785,SAMN02782408,SRS630419,2015-08-27,2014-06-09,Assembled,114,223067,4989460,Salmonella enterica;100.0%,88,2886,2.2
SAL_JA7055AA_AS,SAL_JA7055AA_AS.scaffold,67,46,37,31,27,20,4813390,4805350,4784094,4745320,4673131,4440112,53,600130,4809965,4809037,52.14,52.09,420160,420160,129396,129396,5,5,11,11,81,19,4275363,130,1,0,1,9 + 32 part,564674,88.058,1.002,10.58,1311.2,27.44,196298,4242724,57203,57203,26910,26910,27,27,56,56,Poultry,Animal,SAL_EA0088AA,NY_BAC0900001381,SRR1106262;ILLUMINA;Paired;500;SRX424999;380251552;244,ILLUMINA;;,SAL_EA0088AA,,2009,3,NA,North America,United States,New York,Herkimer County,Warren,42.8,-74.8,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA183850,SRP028607,SAMN01902331,SRS528661,2015-08-27,2014-01-10,Assembled,79,420160,4813390,Salmonella enterica;100.0%,62,5846,2.2
SAL_JA7057AA_AS,SAL_JA7057AA_AS.scaffold,222,165,130,110,75,30,5098639,5073211,4993226,4846516,4225319,2668165,190,192241,5090557,4809037,52.18,52.09,50766,52932,30236,32884,28,25,61,54,59,39,2416071,119,0,0,5,34 + 73 part,838358,88.022,1.005,6.84,1304.67,25.96,163233,4243529,30087,30558,12136,16210,50,46,112,97,Bovine,Animal,SAL_DA5688AA,CFSAN018663,SRR1514707;ILLUMINA;Paired;500;SRX652274;235134852;222,ILLUMINA;;,SAL_DA5688AA,feces,2007,1,NA,North America,United States,Washington,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA186035,SRP018785,SAMN02849931,SRS659949,2015-08-27,2014-07-14,Assembled,47,50766,5098639,Salmonella enterica;93.94%,207,29531,2.2
SAL_JA7059AA_AS,SAL_JA7059AA_AS.scaffold,133,67,43,38,31,27,4942323,4921941,4878150,4844600,4712494,4567881,77,711540,4929525,4809037,52.05,52.09,196629,196629,99648,112809,7,7,16,15,78,26,4312082,128,0,0,2,29 + 34 part,701036,87.79,1.002,0,1307.65,26.34,128755,4226763,57301,57948,24652,26911,29,28,60,56,Bovine,Animal,SAL_DA7975AA,MDH-2014-00126,SRR1258647;ILLUMINA;Paired;500;SRX523586;159564526;239,ILLUMINA;;,SAL_DA7975AA,feces; bos taurus,2005,12,NA,North America,United States,Minnesota,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA215333,SRP032981,SAMN02646900,SRS595731,2015-08-27,2014-04-22,Assembled,33,180358,4942323,Salmonella enterica;78.1%,112,22613,2.2
SAL_JA7060AA_AS,SAL_JA7060AA_AS.scaffold,75,53,42,37,31,25,5003629,4993703,4966499,4932568,4825533,4616267,62,600843,4999768,4809037,52.18,52.09,271001,271001,92936,109062,6,6,14,12,80,21,4193792,131,0,0,2,14 + 33 part,751538,88.122,1.002,7.02,1310.82,26.83,147969,4246401,52051,54524,24653,28727,31,29,63,57,Bovine,Environmental,SAL_DA6382AA,CFSAN013368,SRR1411112;ILLUMINA;Paired;500;SRX603845;306561486;231,ILLUMINA;;,SAL_DA6382AA,feed,2007,1,NA,North America,United States,Washington,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA186035,SRP018785,SAMN02782450,SRS638588,2015-08-27,2014-06-16,Assembled,62,271001,5003629,Salmonella enterica;95.65%,71,6708,2.2
SAL_JA7061AA_AS,SAL_JA7061AA_AS.scaffold,76,47,37,34,28,25,4934731,4923263,4905958,4883198,4779142,4667594,58,453548,4930530,4809037,52.13,52.09,214215,214215,149909,155838,8,8,15,14,81,24,4448765,127,0,0,1,8 + 32 part,686719,88.074,1.002,6.88,1305.54,26.42,196300,4242305,57947,58646,21662,26579,27,26,58,54,Human,Animal,SAL_DA3193AA,CFSAN023368,SRR1575946;ILLUMINA;Paired;500;SRX701653;311795232;238,ILLUMINA;;,SAL_DA3193AA,stool,2013,4,NA,North America,United States,Minnesota,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA219491,SRP033708,SAMN02989084,SRS701534,2015-08-27,2014-09-16,Assembled,64,214215,4934731,Salmonella enterica;100.0%,69,6017,2.2
SAL_JA7064AA_AS,SAL_JA7064AA_AS.scaffold,186,90,65,53,46,33,5063163,5024013,4981629,4891193,4750797,4289524,122,464720,5046190,4809037,52.08,52.09,109051,115621,75563,78221,11,10,25,23,76,33,4026753,125,1,1,5,38 + 48 part,808876,87.843,1.003,3.96,1312.57,26.35,127791,4235032,47875,50005,17856,24857,34,31,73,64,Bovine,Animal,SAL_DA6496AA,CFSAN013335,SRR1379622;ILLUMINA;Paired;500;SRX590688;357428364;174,ILLUMINA;;,SAL_DA6496AA,bovine (intestine),2007,1,NA,North America,United States,Washington,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA186035,SRP018785,SAMN02782417,SRS634590,2015-08-27,2014-06-11,Assembled,71,109051,5063163,Salmonella enterica;97.8%,167,7411,2.2
SAL_JA7065AA_AS,SAL_JA7065AA_AS.scaffold,96,65,43,37,33,27,5030760,5016016,4967846,4930467,4857406,4656754,78,683822,5024907,4809037,52.08,52.09,204653,225955,97105,115458,7,6,15,13,82,25,4460267,128,0,0,5,25 + 35 part,783959,87.953,1.003,5.05,1310.78,26.53,128939,4238954,57213,57948,21903,31183,30,28,61,55,Swine,Animal,SAL_EA0300AA,MDH-2013-00131,SRR1068320;ILLUMINA;Paired;500;SRX404454;856445168;232,ILLUMINA;;,SAL_EA0300AA,porcine feces,2010,12,NA,North America,United States,Minnesota,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA215333,SRP032981,SAMN02378136,SRS524039,2015-08-27,2014-01-03,Assembled,171,204653,5030760,Salmonella enterica;93.43%,92,3415,2.2
SAL_JA7068AA_AS,SAL_JA7068AA_AS.scaffold,91,52,35,27,24,19,5036368,5024825,4993502,4930139,4879820,4682892,57,652244,5028523,4809037,52.09,52.09,296725,371249,162088,213915,6,5,11,10,84,19,4651531,126,0,0,1,23 + 23 part,799618,87.806,1.001,16.66,1308.76,26.52,146359,4226518,57213,58646,24653,32510,29,27,60,54,Swine,Animal,SAL_CA8018AA,MDH-2014-00653,SRR1805587;ILLUMINA;Paired;500;SRX878548;266663508;246,ILLUMINA;;,SAL_CA8018AA,porcine tissue,2005,8,NA,North America,United States,Minnesota,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA215333,SRP032981,SAMN02699819,SRS846438,2015-08-27,2015-02-17,Assembled,53,296725,5036368,Salmonella enterica;86.15%,75,13689,2.2
SAL_JA7069AA_AS,SAL_JA7069AA_AS.scaffold,81,54,39,34,31,26,5033419,5021821,4988202,4958397,4897786,4732422,63,711645,5027461,4809037,52.1,52.09,225955,225955,97105,129373,6,6,14,12,84,24,4512625,126,1,0,3,16 + 33 part,794594,87.879,1.002,5.93,1307.44,26.57,141266,4231579,57348,58646,21662,31183,29,27,61,54,Swine,Animal,SAL_DA9784AA,MDH-2013-00056,SRR1164550;ILLUMINA;Paired;500;SRX467126;471696230;235,ILLUMINA;;,SAL_DA9784AA,porcine liver; pig,2008,11,NA,North America,United States,Minnesota,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA215333,SRP032981,SAMN02378061,SRS554794,2015-08-27,2014-02-06,Assembled,94,225955,5033419,Salmonella enterica;98.53%,76,4082,2.2
SAL_JA7070AA_AS,SAL_JA7070AA_AS.scaffold,84,56,47,39,32,24,4980727,4967220,4945500,4888433,4764218,4490450,69,587754,4976634,4809037,52.21,52.09,192247,224302,91622,121749,7,6,15,14,77,24,4303294,130,0,0,3,12 + 40 part,727493,88.149,1.002,7.25,1307.89,26.47,148062,4247550,52908,55228,24653,26911,30,28,62,57,Bovine,Animal,SAL_DA5795AA,IEH-NGS-SAL-00785,SRR1511502;ILLUMINA;Paired;500;SRX649200;468413880;233,ILLUMINA;;,SAL_DA5795AA,feces,2007,1,NA,North America,United States,Washington,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA186035,SRP018785,SAMN02849898,SRS657290,2015-08-27,2014-07-10,Assembled,95,192247,4980727,Salmonella enterica;92.11%,79,5330,2.2
SAL_JA7071AA_AS,SAL_JA7071AA_AS.scaffold,116,78,55,44,37,30,5170064,5154132,5101879,5021405,4890018,4645131,91,376789,5162768,4809037,52.17,52.09,176215,237133,86948,102075,9,8,20,17,79,25,4120643,127,0,0,2,34 + 40 part,914790,88.118,1.002,8.54,1308.77,26.36,148077,4244953,48833,52908,16661,26911,33,30,72,59,Bovine,Animal,SAL_DA5930AA,CFSAN018488,SRR1501694;ILLUMINA;Paired;500;SRX641681;222497496;237,ILLUMINA;;,SAL_DA5930AA,,2007,1,NA,North America,United States,Washington,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA186035,SRP018785,SAMN02849756,SRS650624,2015-08-27,2014-06-30,Assembled,44,176215,5170064,Salmonella enterica;90.69%,109,14151,2.2
SAL_JA7074AA_AS,SAL_JA7074AA_AS.scaffold,122,73,58,50,39,32,5117206,5095017,5064075,5004512,4810620,4543178,94,470336,5109437,4809037,52.12,52.09,166366,166366,77662,81717,9,9,21,19,79,26,3881331,126,0,0,4,25 + 43 part,859754,88.132,1.003,8.57,1310.6,26.43,127791,4247144,48158,49534,16948,26252,35,32,74,63,Bovine,Animal,SAL_DA5148AA,CFSAN013350,SRR1539610;ILLUMINA;Paired;500;SRX672507;134015520;215,ILLUMINA;;,SAL_DA5148AA,bovine (thorax),2007,1,NA,North America,United States,Washington,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA186035,SRP018785,SAMN02782432,SRS676995,2015-08-27,2014-08-08,Assembled,27,166366,5117206,Salmonella enterica;81.65%,111,22027,2.2
SAL_JA7075AA_AS,SAL_JA7075AA_AS.scaffold,107,54,43,37,31,24,5025236,5001617,4983081,4941637,4827443,4562974,80,622498,5018319,4809037,52.15,52.09,219541,258165,115405,139247,7,6,15,13,79,23,4367815,130,1,1,2,30 + 32 part,774463,88.024,1.003,9.9,1307.91,26.72,148023,4242140,57212,57947,21662,26911,28,27,62,56,Poultry,Product,SAL_CA8248AA,NY-N18,SRR1793244;ILLUMINA;Paired;500;SRX868707;290645132;197,ILLUMINA;;,SAL_CA8248AA,chicken breast,2004,NA,NA,North America,United States,California,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA183850,SRP028607,SAMN02777806,SRS839552,2015-08-27,2015-02-07,Assembled,58,219541,5025236,Salmonella enterica;98.92%,94,9769,2.2
